Country;Capital
Norway;Oslo
Greece;Athens
Åland Islands;Mariehamn
Switzerland;Bern
Croatia;Zagreb
Iceland;Reykjavik
Luxembourg;Luxembourg
Hungary;Budapest
Netherlands;Amsterdam
Lithuania;Vilnius
Slovakia;Bratislava
Liechtenstein;Vaduz
Moldova;Chișinău
Italy;Rome
Jersey;Saint Helier
Monaco;Monaco
Belarus;Minsk
Latvia;Riga
Andorra;Andorra la Vella
France;Paris
Gibraltar;Gibraltar
Denmark;Copenhagen
North Macedonia;Skopje
Malta;Valletta
Czechia;Prague
Guernsey;St. Peter Port
Kosovo;Pristina
Svalbard and Jan Mayen;Longyearbyen
Montenegro;Podgorica
Faroe Islands;Tórshavn
Albania;Tirana
Serbia;Belgrade
Ukraine;Kyiv
Isle of Man;Douglas
Estonia;Tallinn
Romania;Bucharest
Bulgaria;Sofia
Germany;Berlin
Poland;Warsaw
United Kingdom;London
Finland;Helsinki
Sweden;Stockholm
Vatican City;Vatican City
Russia;Moscow
Austria;Vienna
Cyprus;Nicosia
Portugal;Lisbon
Bosnia and Herzegovina;Sarajevo
Belgium;Brussels
Spain;Madrid
Slovenia;Ljubljana
San Marino;City of San Marino
Ireland;Dublin
