Country,1970 dens.,1980 dens.,1990 dens.,2000 dens.,2010 dens.,2015 dens.,2020 dens.,2022 dens.
Afganistán,16.4865,19.1445,16.3973,29.9633,43.2204,51.7509,59.7523,63.0587
Albania,80.8658,102.3254,114.619,110.6867,101.3427,100.2672,99.7234,98.8702
Alemania,219.2425,217.8204,222.2545,228.3631,227.7287,229.8236,233.34,233.4544
Andorra,42.4359,76.0919,114.4637,141.2329,152.8184,153.3034,166.0256,170.5641
Angola,4.8365,6.6817,9.488,13.15,18.7408,22.5617,26.8136,28.5466
Anguila,69.044,72.0879,91.3846,121.3956,144.7473,159.6154,171.2637,174.2527
Antigua y Barbuda,145.9638,146.8054,143.276,169.8077,193.8801,203.4864,209.6471,212.1335
Arabia Saudita,2.8405,4.7317,7.4451,10.0235,13.6819,15.2347,16.7453,16.9368
Argelia,5.7924,7.8679,10.714,12.9211,15.0547,16.6026,18.2437,18.8531
Argentina,8.5753,10.0794,11.7385,13.3329,14.7821,15.5579,16.1977,16.3683
Armenia,85.2092,105.4071,119.5757,106.53,99.0584,96.7823,94.3283,93.4831
Aruba,328.3667,345.9278,365.0667,495.0056,557.45,579.2056,592.1389,591.3611
Australia,1.6374,1.9119,2.2163,2.4724,2.8626,3.0967,3.3372,3.4032
Austria,89.0093,89.9901,91.554,95.5089,99.7106,103.0442,106.2081,106.5877
Azerbaiyán,62.648,73.7074,85.7718,94.5766,106.6652,113.897,118.7639,119.6082
Bahamas (las),12.8472,16.0476,19.4133,23.3102,26.7713,28.1645,29.1523,29.4043
Bangladés,457.6937,568.7454,726.0802,875.4715,1005.5644,1069.5263,1134.5189,1160.035
Barbados,561.3884,589.7093,602.0186,615.4814,638.8628,646.7047,652.7744,654.9651
Baréin,290.9216,473.9804,676.3634,929.9895,1586.4641,1780.5778,1931.332,1924.4876
Belarús,44.1753,47.2893,50.2337,49.405,46.8759,46.7274,46.4053,45.9295
Belice,5.2645,6.3195,7.9504,10.4679,14.0253,15.6697,17.1959,17.6466
Benín,26.8459,34.0425,45.581,62.1373,83.8709,97.075,112.2616,118.5635
Bermuda,963.3148,991.9444,1064.2593,1136.5,1174.9444,1169.3333,1185.7593,1188.5926
Bhután,7.7849,10.8157,14.545,15.2942,18.3757,19.3591,20.1205,20.3796
Bolivia (Estado Plurinacional de),4.1742,5.2214,6.4594,7.8216,9.3059,10.0949,10.8651,11.1272
Bosnia y Herzegovina,74.5096,82.0133,87.7641,81.6136,74.4222,68.8224,64.8012,63.1437
Botsuana,1.0176,1.6127,2.3049,2.9673,3.5939,3.9608,4.3753,4.5194
Brasil,11.3166,14.3602,17.6973,20.6527,23.0576,24.0951,25.0355,25.2841
Brunei Darussalam,23.1297,32.5969,45.4342,57.923,68.6996,73.1027,76.6219,77.8841
Bulgaria,77.4083,80.9947,79.0752,73.0318,68.4735,65.921,62.9441,61.1654
Burkina Faso,20.558,25.3986,33.4523,43.5323,59.0432,68.5725,78.847,83.0641
Burundi,125.6677,154.9484,197.0178,226.6171,327.8941,385.3973,439.0396,463.0874
Bélgica,315.4277,321.9663,326.2434,336.2272,356.3269,368.4586,378.725,381.8111
Cabo Verde,71.2279,78.6596,90.395,113.6253,129.2368,136.912,144.4681,147.0739
"Caimán, (las) Islas",39.8977,64.7727,98.5871,150.2197,204.8258,230.7235,254.9659,260.25
Camboya,37.0565,34.2418,49.2215,66.942,79.3412,85.1632,90.5729,92.6221
Camerún,13.5722,17.9199,24.0419,31.7422,41.8096,48.4026,55.7189,58.7128
Canadá,2.1467,2.4549,2.77,3.073,3.4016,3.5787,3.7947,3.8513
Catar,10.1853,23.947,38.1214,55.7515,147.8944,208.4044,238.2518,232.6189
Chad,2.8562,3.4332,4.5382,6.4323,9.2638,11.0127,12.9632,13.8032
Chequia,124.209,130.2233,130.618,129.7751,132.6919,133.4407,133.5314,133.0627
Chile,12.9883,15.1697,17.6469,20.3039,22.4892,23.6345,25.5261,25.9274
China,84.7366,101.2029,118.8533,130.226,138.8891,143.579,146.7946,146.8933
Chipre,69.2686,73.4328,85.234,102.501,122.115,128.3407,133.7733,135.2814
Colombia,18.3099,22.9264,28.5539,34.3466,39.2522,41.2698,44.6076,45.4339
Comoras (las),130.1563,176.3308,231.5354,288.2696,352.3222,392.1676,432.957,449.3953
Congo (el),4.0848,5.3487,6.975,9.1638,12.9763,14.8081,16.673,17.4574
Congo (la República Democrática del),8.594,11.3903,15.3474,20.7332,28.3136,33.5444,39.5986,42.2244
