Country,GDP per Capita
Albania,5038.06
Alemania,43583.86
Andorra,39447.54
Angola,2385.12
Antigua y Barbuda,17335.05
Arabia Saudita,21138.65
Argelia,3999.76
Argentina,13146.75
Armenia,5116.21
Aruba,32492.18
Australia,60593.17
Austria,47231.89
Azerbaiyán,5473.26
Bahamas (las),30283.9
Bangladés,1784.74
Barbados,16588.15
Baréin,24395.47
Belarús,6004.42
Belice,6191.66
Benín,1255.61
Bermuda,105279.54
Bolivia (Estado Plurinacional de),3134.77
Bosnia y Herzegovina,6263.7
Botsuana,6657.59
Brasil,8831.13
Brunei Darussalam,28954.06
Bulgaria,9104.72
Burkina Faso,732.57
Burundi,262.18
Bélgica,44297.97
Cabo Verde,3494.57
"Caimán, (las) Islas",80946.96
Camboya,1488.81
Camerún,1441.79
Canadá,45797.25
Catar,63428.36
Chad,590.31
Chequia,20580.82
Chile,14355.61
China,11449.07
Chipre,22295.66
Colombia,6842.53
Comoras (las),1362.78
Congo (el),1704.27
Congo (la República Democrática del),528.79
Corea (la República de),33597.24
Costa Rica,13424.47
Croacia,15890.09
Cuba,7449.68
Curazao,13642.93
Côte d'Ivoire,2430.31
Dinamarca,60558.69
Dominica,7339.7
"Dominicana, (la) República",8732.08
Ecuador,5590.54
Egipto,4088.9
El Salvador,4276.96
Emiratos Árabes Unidos (los),45698.01
Eslovaquia,18169.8
Eslovenia,25255.79
España,27830.72
Estados Unidos de América (los),61860.67
Estonia,21506.47
Eswatini,4012.95
Etiopía,857.32
Filipinas (las),3527.98
Finlandia,46922.48
Fiyi,5313.03
Francia,40825.39
Gabón,6637.07
Gambia (la),678.36
Georgia,5392.3
Ghana,2031.43
Granada,8688.55
Grecia,20369.67
Guatemala,4381.45
Guinea,994.44
Guinea Ecuatorial,5945.2
Guinea-Bissau,621.85
Guyana,17646.22
Haití,1247.89
Honduras,2487.71
Hong Kong,42542.93
Hungría,15804.79
India,2089.73
Indonesia,4073.61
Irak,4335.78
Irlanda,99332.94
Irán (República Islámica de),5507.53
Islandia,57806.97
Israel,45164.23
Italia,33226.63
Jamaica,5236.79
Japón,36545.32
Jordania,3891.21
Kazajistán,11421.27
Kenia,1754.59
Kirguistán,1244.33
Kiribati,1433.52
Kuwait,26913.8
"Lao, (la) República Democrática Popular",2599.21
Lesoto,950.65
Letonia,17346.54
Liberia,646.5
Libia,8150.63
Lituania,19084.95
Luxemburgo,110647.4
Macao,32482.92
Macedonia del Norte,5406.03
Madagascar,453.86
Malasia,11399.4
Malaui,554.2
Maldivas,11035.58
Malta,30255.81
Malí,748.97
Marruecos,3351.56
"Marshall, (las) Islas",5306.9
Mauricio,10269.96
Mauritania,1616.82
Micronesia (Estados Federados de),2751.27
Moldova (la República de),2778.74
Mongolia,4249.67
Montenegro,7765.08
Mozambique,590.37
Myanmar,1169.11
México,10077.38
Mónaco,228667.94
Namibia,4483.28
Nauru,8641.76
Nepal,1083.03
Nicaragua,2119.73
Nigeria,2449.59
Noruega,79775.95
Nueva Zelandia,42056.73
Níger (el),545.41
Omán,18856.88
Pakistán,1695.96
"Palestina, Estado de",2973.77
Panamá,15388.06
Papúa Nueva Guinea,2462.55
Paraguay,6193.37
Países Bajos (los),50940.96
Perú,6554.96
Polinesia Francesa,19262.61
Polonia,15813.73
Portugal,22425.03
Puerto Rico,29472.04
Reino Unido de Gran Bretaña e Irlanda del Norte,47541.89
República Centroafricana (la),364.69
Ruanda,940.37
Rumania,11809.05
"Rusia, (la) Federación de",10168.69
Saint Kitts y Nevis,20428.42
"Salomón, (las) Islas",1893.1
Samoa,3591.81
Samoa Americana,14969.06
San Martín (parte neerlandesa),30827.41
San Vincente y las Granadinas,8460.37
Santa Lucía,10802.66
Santo Tomé y Príncipe,1395.16
Senegal,1465.11
Serbia,6915.28
Seychelles,16184.22
Sierra Leona,626.9
Singapur,63542.23
Somalia,509.05
Sri Lanka,4051.81
Sudáfrica,6022.43
Sudán,1684.63
Suecia,55698.04
Suiza,90420.62
Suriname,7141.82
Tailandia,6278.35
"Tanzania, República Unida de",1025.29
Tayikistán,1356.32
Timor-Leste,1611.47
Togo,888.18
Trinidad y Tabago,14155.18
"Turcas y Caicos, (las) Islas",20323.15
Turkmenistán,7297.31
Turquía,13995.6
Tuvalu,3988.41
Túnez,3894.17
Ucrania,1812.59
Uganda,934.34
Uruguay,18214.81
Uzbekistán,3575.72
Vanuatu,2575.93
Viet Nam,3655.46
Yibuti,2950.95
Zambia,1308.1
Zimbabue,1345.77
