Country,Average GDP (2015-2022)
Aruba,3097022612.5
Afganistán,19599245285.714287
Angola,86060511750.0
Albania,12693614625.0
Andorra,2907545750.0
Emiratos Árabes Unidos (los),396494517500.0
Argentina,576716398750.0
Armenia,12015193500.0
Samoa Americana,647698275.0
Antigua y Barbuda,1535073850.0
Australia,1464683987500.0
Austria,400436183750.0
Azerbaiyán,53019270750.0
Burundi,3195579337.5
Bélgica,484056756250.0
Benín,13788995500.0
Burkina Faso,14380231000.0
Bangladés,247651115000.0
Bulgaria,55750154875.0
Baréin,33687105375.0
Bahamas (las),11504956375.0
Bosnia y Herzegovina,18185621000.0
Belarús,57639378375.0
Belice,2220746550.0
Bermuda,6683872087.5
Bolivia (Estado Plurinacional de),36122280500.0
Brasil,1804802412500.0
Barbados,4655307550.0
Brunei Darussalam,13003218625.0
Bhután,2260020085.714286
Botsuana,15493396875.0
República Centroafricana (la),1913380050.0
Canadá,1647442662500.0
Suiza,737308617500.0
Chile,257898957500.0
China,13762945750000.0
Côte d'Ivoire,56790759250.0
Camerún,36398904875.0
Congo (la República Democrática del),43725944625.0
Congo (el),10712639750.0
Colombia,314208568750.0
Comoras (las),1063986712.5
Cabo Verde,1886924375.0
Costa Rica,62683194000.0
Cuba,86589859250.0
Curazao,2771682737.5
Caimán,5166346887.5
Chipre,23824560625.0
Chequia,204913510000.0
Alemania,3516651337500.0
Yibuti,2905275262.5
Dominica,528930563.75
Dinamarca,328038677500.0
Dominicana,84455196125.0
Argelia,173210948750.0
Ecuador,99165210625.0
Egipto,387267772500.0
España,1258867987500.0
Estonia,26057954500.0
Etiopía,85794744375.0
Finlandia,249428761250.0
Fiyi,4797353787.5
Francia,2530859275000.0
Micronesia (Estados Federados de),322356965.0
Gabón,15074673500.0
Reino Unido de Gran Bretaña e Irlanda del Norte,3044354925000.0
Georgia,17023204500.0
Ghana,59197449250.0
Guinea,11551658750.0
Gambia (la),1599395237.5
Guinea-Bissau,1197348462.5
Guinea Ecuatorial,10794763875.0
Grecia,198520202500.0
Granada,1058390745.0
Groenlandia,2648131714.285714
Guatemala,69188539125.0
Guam,5696935200.0
Guyana,6687255112.5
Hong Kong,322707103750.0
Honduras,23350768000.0
Croacia,56133584625.0
Haití,15105392000.0
Hungría,140416061250.0
Indonesia,997402318750.0
Isla de Man,7614018400.0
India,2543318562500.0
Irlanda,373790188750.0
Irán (República Islámica de),449704096250.0
Irak,185817263750.0
Islandia,19689256250.0
Israel,349496478750.0
Italia,1876794812500.0
Jamaica,14395913000.0
Jordania,41169300000.0
Japón,4501980525000.0
Kazajistán,202505858750.0
Kenia,81593749375.0
Kirguistán,7475155362.5
Camboya,21958463125.0
Kiribati,175966416.25
Saint Kitts y Nevis,973533747.5
Corea (la República de),1604560825000.0
Kuwait,112409530750.0
Lao,17450819750.0
Líbano,45658596000.0
Liberia,3247179637.5
Libia,55552049500.0
Santa Lucía,1835732337.5
Liechtenstein,6268515300.0
Sri Lanka,92696983125.0
Lesoto,2286750875.0
Lituania,46802671000.0
Luxemburgo,65817790875.0
Letonia,29551403375.0
Macao,39601070375.0
Marruecos,118267031250.0
Mónaco,6832243750.0
Moldova (la República de),8693321050.0
Madagascar,12473097875.0
Maldivas,4799426962.5
México,1244746012500.0
Marshall,207144058.75
Macedonia del Norte,10716140250.0
Malí,15247570250.0
Malta,13526390750.0
Myanmar,66380657500.0
Montenegro,4433352587.5
Mongolia,13148531875.0
Marianas Septentrionales,1078212140.0
Mozambique,17924791125.0
Mauritania,6896649900.0
Mauricio,12781178500.0
Malaui,10374287750.0
Malasia,343828868750.0
Namibia,11128464250.0
Nueva Caledonia,8738203000.0
Níger (el),11772197500.0
Nigeria,503603526250.0
Nicaragua,13553191000.0
Países Bajos (los),822170305000.0
Noruega,407313056250.0
Nepal,28635006375.0
Nauru,97062558.25
Nueva Zelandia,198374877500.0
Omán,82581578750.0
Pakistán,351458590000.0
Panamá,59883805500.0
Perú,205863551250.0
Filipinas (las),362589636250.0
Palau,263649142.85714287
Papúa Nueva Guinea,23676034000.0
Polonia,549057801250.0
Puerto Rico,97086621375.0
Portugal,212764648750.0
Paraguay,39920360625.0
Palestina,15090887500.0
Polinesia Francesa,5661673725.0
Catar,165330087500.0
Rumania,206348246250.0
Rusia,1426161887500.0
Ruanda,10517472200.0
Arabia Saudita,701193521250.0
Sudán,83986515750.0
Senegal,21712870375.0
Singapur,342355490000.0
Salomón,1412367200.0
Sierra Leona,4881047137.5
El Salvador,25034741125.0
San Marino,1464493471.4285715
Somalia,8224801212.5
Serbia,44456466750.0
Sudán del Sur,11997800000.0
Santo Tomé y Príncipe,295483062.5
Suriname,4817845962.5
Eslovaquia,96106254250.0
Eslovenia,48425925625.0
Suecia,541852852500.0
Eswatini,4376408700.0
San Martín (parte neerlandesa),1320298400.0
Seychelles,1547961212.5
República Árabe Siria,15708483857.142857
Turcas y Caicos,959987015.0
Chad,10368572625.0
Togo,6710437612.5
Tailandia,435108585000.0
Tayikistán,10642561337.5
Turkmenistán,42530832750.0
Timor-Leste,1981151012.5
Tonga,473610418.5714286
Trinidad y Tabago,23474997000.0
Túnez,47173170125.0
Turquía,1005645882500.0
Tuvalu,41986322.5
Tanzania,57815814625.0
Uganda,38156529000.0
Ucrania,94005725000.0
Uruguay,59275384250.0
Estados Unidos de América (los),19485602375000.0
Uzbekistán,103851892875.0
San Vincente y las Granadinas,838659765.0
Vírgenes de los Estados Unidos,3775531557.142857
Viet Nam,298871430000.0
Vanuatu,812481006.25
Samoa,875057317.5
Yemen,38553319750.0
Sudáfrica,352438957500.0
Zambia,23556540000.0
Zimbabue,20662359125.0
