CCA3,"Año,",PIB ($)
AFG,2002,7228796000
AFG,2003,7867263500
AFG,2004,7978515500
AFG,2005,8874481000
AFG,2006,9349922000
AFG,2007,10642672000
AFG,2008,11060395000
AFG,2009,13426272000
AFG,2010,15354613000
AFG,2011,15420078000
AFG,2012,17386490000
AFG,2013,18360263000
AFG,2014,18860497000
AFG,2015,19134222000
AFG,2016,19566715000
AFG,2017,20084646000
AFG,2018,20323500000
AFG,2019,21118474000
AFG,2020,20621957000
AFG,2021,16345203000
ALB,1980,4650626600
ALB,1981,4917834000
ALB,1982,5062841300
ALB,1983,5118783000
ALB,1984,5054716400
ALB,1985,5144723000
ALB,1986,5434743300
ALB,1987,5391926300
ALB,1988,5315358700
ALB,1989,5838206500
ALB,1990,5279161000
ALB,1991,3800882700
ALB,1992,3527709200
ALB,1993,3864937200
ALB,1994,4185837800
ALB,1995,4743489000
ALB,1996,5175146500
ALB,1997,4610021400
ALB,1998,5017060000
ALB,1999,5663799300
ALB,2000,6057219000
ALB,2001,6559563000
ALB,2002,6857139000
ALB,2003,7236245500
ALB,2004,7635300400
ALB,2005,8057259500
ALB,2006,8532852000
ALB,2007,9043395000
ALB,2008,9721653000
ALB,2009,10047745000
ALB,2010,10420209000
ALB,2011,10685446000
ALB,2012,10836884000
ALB,2013,10945471000
ALB,2014,11139694000
ALB,2015,11386853000
ALB,2016,11764325000
ALB,2017,12211675000
ALB,2018,12702505000
ALB,2019,12967696000
ALB,2020,12539492000
ALB,2021,13656576000
ALB,2022,14319795000
DZA,1960,23999015000
DZA,1961,20733843000
DZA,1962,16652377000
DZA,1963,22366430000
DZA,1964,23672498000
DZA,1965,25141826000
DZA,1966,23933768000
DZA,1967,26196218000
DZA,1968,29024424000
DZA,1969,31472134000
DZA,1970,34261402000
DZA,1971,30378996000
DZA,1972,38710125000
DZA,1973,40186210000
DZA,1974,43198132000
DZA,1975,45377626000
DZA,1976,49183334000
DZA,1977,51769684000
DZA,1978,56540176000
DZA,1979,60768150000
DZA,1980,61248590000
DZA,1981,63086043000
DZA,1982,67123552000
DZA,1983,70748226000
DZA,1984,74710120000
DZA,1985,77474400000
DZA,1986,77784290000
DZA,1987,77239810000
DZA,1988,76467405000
DZA,1989,79831970000
DZA,1990,80470630000
DZA,1991,79504980000
DZA,1992,80936075000
DZA,1993,79236415000
DZA,1994,78523290000
DZA,1995,81507170000
